colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FF6241	-0.0302000769005074	0.210985323246747	1	1	0.772880918979603	Full.Time.Equivalent..FTE..Teachers..Public.School..max	2
#FF8766	-0.0302000769005074	0.210985323246747	1	1	0.612534599297717	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	2
#FF5434	-0.0302000769005074	0.210985323246747	1	1	0.826055633474957	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	2
#FF9B7E	-0.0302000769005074	0.210985323246747	1	1	0.512311726196483	Full.Time.Equivalent..FTE..Teachers..Public.School..median	2
#CEAFFF	-0.0302000769005074	0.210985323246747	1	1	-0.343334246563364	Pupil.Teacher.Ratio..Public.School..min	2
#FFA286	-0.0302000769005074	0.210985323246747	1	1	0.482265070342794	Pupil.Teacher.Ratio..Public.School..max	2
#FFB9A2	-0.0302000769005074	0.210985323246747	1	1	0.364238295051145	Pupil.Teacher.Ratio..Public.School..mean	2
#FFB59E	-0.0302000769005074	0.210985323246747	1	1	0.383040197379492	Pupil.Teacher.Ratio..Public.School..sd	2
#FFA78C	-0.0302000769005074	0.210985323246747	1	1	0.456389266582314	Pupil.Teacher.Ratio..Public.School..median	2
#FF6140	-0.0302000769005074	0.210985323246747	1	1	0.776314097835294	Free.Lunch.Eligible.mean	2
#FF0F04	-0.0302000769005074	0.210985323246747	1	1	0.988799508798535	Free.Lunch.Eligible.sd	2
#FF7756	-0.0302000769005074	0.210985323246747	1	1	0.684106451972494	Free.Lunch.Eligible.median	2
#FFCDBC	-0.0302000769005074	0.210985323246747	1	1	0.259693769188067	Reduced.Lunch.Eligible.min	2
#FF8868	-0.0302000769005074	0.210985323246747	1	1	0.604136713858379	Reduced.Lunch.Eligible.mean	2
#FF5D3C	-0.0302000769005074	0.210985323246747	1	1	0.792304163954607	Reduced.Lunch.Eligible.sd	2
#FF9476	-0.0302000769005074	0.210985323246747	1	1	0.547171986411636	Reduced.Lunch.Eligible.median	2
#FF8564	-0.0302000769005074	0.210985323246747	1	1	0.621599372322792	Total.Students.mean	2
#FF5737	-0.0302000769005074	0.210985323246747	1	1	0.814797183954183	Total.Students.sd	2
#FF9C7F	-0.0302000769005074	0.210985323246747	1	1	0.511191999073985	Total.Students.median	2
#FF5B3B	-0.0302000769005074	0.210985323246747	1	1	0.798367553978769	Free.and.Reduced.Lunch.Students..Public.School..mean	2
#FF0000	-0.0302000769005074	0.210985323246747	1	1	1	Free.and.Reduced.Lunch.Students..Public.School..sd	2
#FF7554	-0.0302000769005074	0.210985323246747	1	1	0.692209408385532	Free.and.Reduced.Lunch.Students..Public.School..median	2
#FFEEE7	-0.0302000769005074	0.210985323246747	1	1	0.0906810276882196	Free.Reduced.Lunch.Rate.min	2
#FFB69E	-0.0302000769005074	0.210985323246747	1	1	0.380037660279501	Free.Reduced.Lunch.Rate.max	2
#FFD0C0	-0.0302000769005074	0.210985323246747	1	1	0.246247062675706	Free.Reduced.Lunch.Rate.mean	2
#FFC6B3	-0.0302000769005074	0.210985323246747	1	1	0.296158743110624	Free.Reduced.Lunch.Rate.sd	2
#FFCFBF	-0.0302000769005074	0.210985323246747	1	1	0.250675673964915	Free.Reduced.Lunch.Rate.median	2
#FFB9A3	-0.0302000769005074	0.210985323246747	1	1	0.36269482905326	City..Large	2
#E0CBFF	-0.0302000769005074	0.210985323246747	1	1	-0.220094994963026	Rural..Distant	2
#DDC5FF	-0.0302000769005074	0.210985323246747	1	1	-0.245754134553153	Rural..Remote	2
#FFE2D8	-0.0302000769005074	0.210985323246747	1	1	0.151769733282353	Suburb..Large	2
#FFD7C9	-0.0302000769005074	0.210985323246747	1	1	0.208200760217708	Town..Distant	2
#FFFFFF	-0.0302000769005074	0.210985323246747	2	2	0.00185587976831369	Designate.district.level.contact.person.	2
#FFF6F3	-0.0302000769005074	0.210985323246747	2	2	0.0451315062483714	Administer.implementation.survey..e.g..Collabor...	2
#FFE1D6	-0.0302000769005074	0.210985323246747	2	2	0.158246671881474	Use.technology.to.increase.the.quality.and.time...	2
