fill	x	y	key	tooltip	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#FFEDE7	1	-20	Building.Leadership.Team.Members	0.0930251792745058	Building.Leadership.Team.Members	Self.assessment.practice.profile..SAPP.	86	0.5	1.5	-20.5	-19.5	#FFEDE7	0
#FFF5F1	1	-23	Building.Leadership.Team.Members	0.0517576614141534	Building.Leadership.Team.Members	Learning.module.materials..i.e..power.points..handouts.	87	0.5	1.5	-23.5	-22.5	#FFF5F1	0
#F9F4FF	1	-27	Building.Leadership.Team.Members	-0.0448113933024974	Building.Leadership.Team.Members	DESE.virtual.learning.platform	88	0.5	1.5	-27.5	-26.5	#F9F4FF	0
#FFE7DF	1	-7	Building.Leadership.Team.Members	0.124827585630687	Building.Leadership.Team.Members	Review.of.CFA.data	89	0.5	1.5	-7.5	-6.5	#FFE7DF	0
#E6D5FF	1	-12	Building.Leadership.Team.Members	-0.179396093270306	Building.Leadership.Team.Members	CWIS	90	0.5	1.5	-12.5	-11.5	#E6D5FF	0
#F2E8FF	1	-8	Building.Leadership.Team.Members	-0.0967607547347722	Building.Leadership.Team.Members	Distance.Learning	91	0.5	1.5	-8.5	-7.5	#F2E8FF	0
#D4B8FF	1	-3	Building.Leadership.Team.Members	-0.302197098775067	Building.Leadership.Team.Members	Virtual.Learning.Modules.and.or.PowerPoints	92	0.5	1.5	-3.5	-2.5	#D4B8FF	0
#F6EEFF	1	-9	Building.Leadership.Team.Members	-0.070860562032563	Building.Leadership.Team.Members	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	93	0.5	1.5	-9.5	-8.5	#F6EEFF	0
#FFFEFE	1	-30	Building.Leadership.Team.Members	0.00503041856553241	Building.Leadership.Team.Members	Interaction.Type_Virtual	94	0.5	1.5	-30.5	-29.5	#FFFEFE	0
#FFCDBB	1	-5	Building.Leadership.Team.Members	0.263315895919379	Building.Leadership.Team.Members	Interaction.Type_In-person	95	0.5	1.5	-5.5	-4.5	#FFCDBB	0
#FDFCFF	1	-30	Building.Leadership.Team.Members	-0.0143006394100021	Building.Leadership.Team.Members	Interaction.Type_In-person and virtual	96	0.5	1.5	-30.5	-29.5	#FDFCFF	0
#FAF5FF	1	-21	Building.Leadership.Team.Members	-0.0410905245215074	Building.Leadership.Team.Members	Interaction.Type_Phone	97	0.5	1.5	-21.5	-20.5	#FAF5FF	0
#FFFAF8	1	-14	Building.Leadership.Team.Members	0.0267395571618467	Building.Leadership.Team.Members	Interaction.Type_Unknown	98	0.5	1.5	-14.5	-13.5	#FFFAF8	0
#FEFCFF	1	-29	Building.Leadership.Team.Members	-0.0111358801500737	Building.Leadership.Team.Members	ETLP_avg	99	0.5	1.5	-29.5	-28.5	#FEFCFF	0
#FFE1D6	1	-11	Building.level.Educators	0.159510146995302	Building.level.Educators	District.Leadership.Team.Members	100	0.5	1.5	-11.5	-10.5	#FFE1D6	0
#E8D7FF	1	-11	Building.level.Educators	-0.170446093803121	Building.level.Educators	District.Contact.Person	101	0.5	1.5	-11.5	-10.5	#E8D7FF	0
#FF987A	1	-2	Building.level.Educators	0.528898594130367	Building.level.Educators	Building.Leadership.Team.Members	102	0.5	1.5	-2.5	-1.5	#FF987A	0
#FFFCFB	1	-28	Building.level.Educators	0.0152963574385851	Building.level.Educators	Other.District.Administrators	103	0.5	1.5	-28.5	-27.5	#FFFCFB	0
#FFC0AB	1	-2	Building.level.Educators	0.329130599072631	Building.level.Educators	Other.Building.Administrators	104	0.5	1.5	-2.5	-1.5	#FFC0AB	0
#FF0000	1	-1	Building.level.Educators	1	Building.level.Educators	Building.level.Educators	105	0.5	1.5	-1.5	-0.5	#FF0000	0
#E2CEFF	1	-7	Building.level.Educators	-0.207939285097532	Building.level.Educators	RPDC.Director	106	0.5	1.5	-7.5	-6.5	#E2CEFF	0
#FFFEFD	1	-31	Building.level.Educators	0.00646741126827924	Building.level.Educators	Area.Supervisor	107	0.5	1.5	-31.5	-30.5	#FFFEFD	0
#FDFCFF	1	-24	Building.level.Educators	-0.0123887379451369	Building.level.Educators	Parents	108	0.5	1.5	-24.5	-23.5	#FDFCFF	0
#FFF9F7	1	-23	Building.level.Educators	0.0323236649971129	Building.level.Educators	Collaborative.teams	109	0.5	1.5	-23.5	-22.5	#FFF9F7	0
#FFE1D6	1	-7	Building.level.Educators	0.157341926840337	Building.level.Educators	Common.formative.assessment	110	0.5	1.5	-7.5	-6.5	#FFE1D6	0
#F1E7FF	1	-13	Building.level.Educators	-0.102651228859963	Building.level.Educators	Data.based.decision.making	111	0.5	1.5	-13.5	-12.5	#F1E7FF	0
#FFB198	1	-2	Building.level.Educators	0.406889872975264	Building.level.Educators	Effective.teaching.learning.practices	112	0.5	1.5	-2.5	-1.5	#FFB198	0
#E7D6FF	1	-6	Building.level.Educators	-0.173390393071042	Building.level.Educators	Instructional.Leadership	113	0.5	1.5	-6.5	-5.5	#E7D6FF	0
#FFF7F4	1	-25	Building.level.Educators	0.0407126475400459	Building.level.Educators	School.based.implementation.coaching	114	0.5	1.5	-25.5	-24.5	#FFF7F4	0
#FDFBFF	1	-27	Building.level.Educators	-0.0160839618102185	Building.level.Educators	Collective.teacher.efficacy	115	0.5	1.5	-27.5	-26.5	#FDFBFF	0
#CFB1FF	1	-7	Building.level.Educators	-0.334385326850957	Building.level.Educators	MMD.DCI.expectations.logistics.DESE.specifics	116	0.5	1.5	-7.5	-6.5	#CFB1FF	0
#EFE3FF	1	-13	Building.level.Educators	-0.117014940518058	Building.level.Educators	Alignment.and.systems.planning	117	0.5	1.5	-13.5	-12.5	#EFE3FF	0
#FFF3EE	1	-19	Building.level.Educators	0.0634966568505093	Building.level.Educators	Practice.profiles	118	0.5	1.5	-19.5	-18.5	#FFF3EE	0
#EEE1FF	1	-15	Building.level.Educators	-0.1267459828606	Building.level.Educators	Self.assessment.practice.profile..SAPP.	119	0.5	1.5	-15.5	-14.5	#EEE1FF	0
#FFE8E0	1	-11	Building.level.Educators	0.119052049210983	Building.level.Educators	Learning.module.materials..i.e..power.points..handouts.	120	0.5	1.5	-11.5	-10.5	#FFE8E0	0
#D8BFFF	1	-8	Building.level.Educators	-0.27483870696844	Building.level.Educators	DESE.virtual.learning.platform	121	0.5	1.5	-8.5	-7.5	#D8BFFF	0
#FFFFFF	1	-31	Building.level.Educators	-0.00074244415014977	Building.level.Educators	Review.of.CFA.data	122	0.5	1.5	-31.5	-30.5	#FFFFFF	0
#C29FFF	1	-4	Building.level.Educators	-0.411398718887527	Building.level.Educators	CWIS	123	0.5	1.5	-4.5	-3.5	#C29FFF	0
#F0E4FF	1	-4	Building.level.Educators	-0.114207356566107	Building.level.Educators	Distance.Learning	124	0.5	1.5	-4.5	-3.5	#F0E4FF	0
#D5B9FF	1	-4	Building.level.Educators	-0.298909925406092	Building.level.Educators	Virtual.Learning.Modules.and.or.PowerPoints	125	0.5	1.5	-4.5	-3.5	#D5B9FF	0
#F2E7FF	1	-7	Building.level.Educators	-0.100274670454982	Building.level.Educators	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	126	0.5	1.5	-7.5	-6.5	#F2E7FF	0
#F8F3FF	1	-22	Building.level.Educators	-0.0513763323187332	Building.level.Educators	Interaction.Type_Virtual	127	0.5	1.5	-22.5	-21.5	#F8F3FF	0
#FFDCD0	1	-10	Building.level.Educators	0.18180943104671	Building.level.Educators	Interaction.Type_In-person	128	0.5	1.5	-10.5	-9.5	#FFDCD0	0
#FCF9FF	1	-26	Building.level.Educators	-0.0252300002725085	Building.level.Educators	Interaction.Type_In-person and virtual	129	0.5	1.5	-26.5	-25.5	#FCF9FF	0
#F3EAFF	1	-11	Building.level.Educators	-0.0870018007809418	Building.level.Educators	Interaction.Type_Phone	130	0.5	1.5	-11.5	-10.5	#F3EAFF	0
#FFFDFC	1	-22	Building.level.Educators	0.0130053819793494	Building.level.Educators	Interaction.Type_Unknown	131	0.5	1.5	-22.5	-21.5	#FFFDFC	0
#EEE2FF	1	-6	Building.level.Educators	-0.123074883878306	Building.level.Educators	ETLP_avg	132	0.5	1.5	-6.5	-5.5	#EEE2FF	0
#FFE3D9	1	-15	CWIS	0.147968367674476	CWIS	District.Leadership.Team.Members	232	0.5	1.5	-15.5	-14.5	#FFE3D9	0
#FFBBA5	1	-4	CWIS	0.354849789991004	CWIS	District.Contact.Person	233	0.5	1.5	-4.5	-3.5	#FFBBA5	0
#E6D5FF	1	-9	CWIS	-0.179396093270306	CWIS	Building.Leadership.Team.Members	234	0.5	1.5	-9.5	-8.5	#E6D5FF	0
#FFE5DC	1	-10	CWIS	0.13445522955216	CWIS	Other.District.Administrators	235	0.5	1.5	-10.5	-9.5	#FFE5DC	0
#E9DAFF	1	-10	CWIS	-0.158443162023793	CWIS	Other.Building.Administrators	236	0.5	1.5	-10.5	-9.5	#E9DAFF	0
