x	y	label	clickSelects	showSelected1	group
2	6.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Interaction.Type_In-person	317
2	11.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Interaction.Type_In-person and virtual	318
2	8.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Interaction.Type_Phone	319
2	7.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Interaction.Type_Unknown	320
2	17.7	Data.based.decision.making	Data.based.decision.making	District.Leadership.Team.Members	257
2	19.7	Data.based.decision.making	Data.based.decision.making	District.Contact.Person	258
2	6.7	Data.based.decision.making	Data.based.decision.making	Building.Leadership.Team.Members	259
2	21.7	Data.based.decision.making	Data.based.decision.making	Other.District.Administrators	260
2	19.7	Data.based.decision.making	Data.based.decision.making	Other.Building.Administrators	261
2	26.7	Data.based.decision.making	Data.based.decision.making	Building.level.Educators	262
2	25.7	Data.based.decision.making	Data.based.decision.making	RPDC.Director	263
2	23.7	Data.based.decision.making	Data.based.decision.making	Area.Supervisor	264
2	12.7	Data.based.decision.making	Data.based.decision.making	Parents	265
2	1.7	Data.based.decision.making	Data.based.decision.making	Collaborative.teams	266
2	3.7	Data.based.decision.making	Data.based.decision.making	Common.formative.assessment	267
2	0.7	Data.based.decision.making	Data.based.decision.making	Data.based.decision.making	268
2	18.7	Data.based.decision.making	Data.based.decision.making	Effective.teaching.learning.practices	269
2	4.7	Data.based.decision.making	Data.based.decision.making	Instructional.Leadership	270
2	6.7	Data.based.decision.making	Data.based.decision.making	School.based.implementation.coaching	271
2	5.7	Data.based.decision.making	Data.based.decision.making	Collective.teacher.efficacy	272
2	29.7	Data.based.decision.making	Data.based.decision.making	MMD.DCI.expectations.logistics.DESE.specifics	273
2	18.7	Data.based.decision.making	Data.based.decision.making	Alignment.and.systems.planning	274
2	14.7	Data.based.decision.making	Data.based.decision.making	Practice.profiles	275
2	9.7	Data.based.decision.making	Data.based.decision.making	Self.assessment.practice.profile..SAPP.	276
2	29.7	Data.based.decision.making	Data.based.decision.making	Learning.module.materials..i.e..power.points..handouts.	277
2	20.7	Data.based.decision.making	Data.based.decision.making	DESE.virtual.learning.platform	278
2	4.7	Data.based.decision.making	Data.based.decision.making	Review.of.CFA.data	279
2	29.7	Data.based.decision.making	Data.based.decision.making	CWIS	280
2	8.7	Data.based.decision.making	Data.based.decision.making	Distance.Learning	281
2	28.7	Data.based.decision.making	Data.based.decision.making	Virtual.Learning.Modules.and.or.PowerPoints	282
2	18.7	Data.based.decision.making	Data.based.decision.making	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	283
2	19.7	Data.based.decision.making	Data.based.decision.making	Interaction.Type_Virtual	284
2	20.7	Data.based.decision.making	Data.based.decision.making	Interaction.Type_In-person	285
2	23.7	Data.based.decision.making	Data.based.decision.making	Interaction.Type_In-person and virtual	286
2	26.7	Data.based.decision.making	Data.based.decision.making	Interaction.Type_Phone	287
2	20.7	Data.based.decision.making	Data.based.decision.making	Interaction.Type_Unknown	288
2	21.7	Distance.Learning	Distance.Learning	District.Leadership.Team.Members	321
2	18.7	Distance.Learning	Distance.Learning	District.Contact.Person	322
2	19.7	Distance.Learning	Distance.Learning	Building.Leadership.Team.Members	323
2	28.7	Distance.Learning	Distance.Learning	Other.District.Administrators	324
2	14.7	Distance.Learning	Distance.Learning	Other.Building.Administrators	325
2	21.7	Distance.Learning	Distance.Learning	Building.level.Educators	326
2	19.7	Distance.Learning	Distance.Learning	RPDC.Director	327
2	12.7	Distance.Learning	Distance.Learning	Area.Supervisor	328
2	18.7	Distance.Learning	Distance.Learning	Parents	329
2	10.7	Distance.Learning	Distance.Learning	Collaborative.teams	330
2	13.7	Distance.Learning	Distance.Learning	Common.formative.assessment	331
